frameIndex;frameTime;pcm_LOGenergy
365;3.650000;-5.613950e+00
366;3.660000;-4.077223e+00
367;3.670000;-3.543129e+00
368;3.680000;-3.507519e+00
369;3.690000;-3.852521e+00
370;3.700000;-4.238916e+00
371;3.710000;-4.652134e+00
372;3.720000;-5.016307e+00
373;3.730000;-5.400255e+00
374;3.740000;-5.899120e+00
375;3.750000;-6.380758e+00
376;3.760000;-6.692652e+00
377;3.770000;-6.838589e+00
378;3.780000;-7.045100e+00
379;3.790000;-7.634120e+00
380;3.800000;-8.995989e+00
381;3.810000;-1.214860e+01
382;3.820000;-1.437237e+01
383;3.830000;-1.378518e+01
384;3.840000;-1.296225e+01
385;3.850000;-1.236308e+01
386;3.860000;-1.116737e+01
387;3.870000;-1.065327e+01
388;3.880000;-1.036867e+01
389;3.890000;-1.009683e+01
390;3.900000;-9.946829e+00
391;3.910000;-9.645389e+00
392;3.920000;-9.119262e+00
393;3.930000;-8.806950e+00
394;3.940000;-8.665655e+00
395;3.950000;-8.616101e+00
396;3.960000;-8.426345e+00
397;3.970000;-8.111197e+00
398;3.980000;-8.104082e+00
399;3.990000;-7.869995e+00
400;4.000000;-7.519032e+00
401;4.010000;-7.385667e+00
402;4.020000;-7.459668e+00
403;4.030000;-7.678797e+00
404;4.040000;-7.753468e+00
405;4.050000;-7.748351e+00
406;4.060000;-7.752936e+00
407;4.070000;-7.841117e+00
408;4.080000;-8.086100e+00
409;4.090000;-8.782407e+00
410;4.100000;-9.605745e+00
411;4.110000;-1.032590e+01
412;4.120000;-1.084223e+01
413;4.130000;-1.119225e+01
414;4.140000;-1.197436e+01
415;4.150000;-1.510530e+01
416;4.160000;-1.520022e+01
417;4.170000;-1.525445e+01
418;4.180000;-1.548243e+01
419;4.190000;-1.522695e+01
420;4.200000;-1.091499e+01
421;4.210000;-5.736492e+00
422;4.220000;-3.935327e+00
423;4.230000;-3.751351e+00
424;4.240000;-4.182365e+00
425;4.250000;-5.007253e+00
426;4.260000;-5.235173e+00
427;4.270000;-5.357465e+00
428;4.280000;-5.514747e+00
429;4.290000;-5.849734e+00
430;4.300000;-6.339739e+00
431;4.310000;-7.319581e+00
432;4.320000;-7.772862e+00
433;4.330000;-7.525716e+00
434;4.340000;-6.969272e+00
435;4.350000;-6.156030e+00
436;4.360000;-5.746766e+00
437;4.370000;-5.720168e+00
438;4.380000;-5.769431e+00
439;4.390000;-5.910255e+00
440;4.400000;-5.999288e+00
441;4.410000;-6.086409e+00
442;4.420000;-6.135140e+00
443;4.430000;-6.432158e+00
444;4.440000;-6.729166e+00
445;4.450000;-7.358568e+00
446;4.460000;-7.513792e+00
447;4.470000;-7.267231e+00
